,Code_INSEE,Nom de la commune,Mois,Nombre de feux
7,83001,Adrets-de-l'EstÇ¸rel (Les),8,15.0
16,83001,Les Adrets-de-l'EstÇ¸rel,8,1.0
24,83002,Aiguines,8,5.0
33,83003,Ampus,8,13.0
45,83004,Arcs (Les),8,38.0
55,83004,Les Arcs,8,4.0
60,83005,Artignosc-sur-Verdon,8,1.0
65,83006,Artigues,8,8.0
75,83007,Aups,8,22.0
87,83008,Bagnols-en-ForÇ¦t,8,14.0
99,83009,Bandol,8,14.0
111,83010,BargÇùme,8,5.0
121,83011,Bargemon,8,10.0
133,83012,Barjols,8,18.0
144,83013,Bastide (La),8,1.0
151,83014,Baudinard-sur-Verdon,8,4.0
162,83015,Bauduen,8,6.0
173,83016,Beausset (Le),8,29.0
180,83016,Le Beausset,8,1.0
188,83017,Belgentier,8,4.0
199,83018,Besse-sur-Issole,8,19.0
211,83019,Bormes-les-Mimosas,8,39.0
221,83020,Bourguet (Le),8,1.0
232,83021,Bras,8,15.0
240,83022,Brenon,8,2.0
249,83023,Brignoles,8,43.0
260,83025,Brue-Auriac,8,10.0
271,83026,Cabasse,8,15.0
283,83027,CadiÇùre-d'Azur (La),8,25.0
292,83027,La CadiÇùre-d'Azur,8,1.0
301,83028,Callas,8,15.0
313,83029,Callian,8,18.0
324,83030,Camps-la-Source,8,11.0
335,83031,Cannet-des-Maures (Le),8,41.0
346,83031,Le Cannet-des-Maures,8,3.0
354,83032,CarcÇùs,8,19.0
366,83033,Carnoules,8,12.0
378,83034,Carqueiranne,8,18.0
390,83035,Castellet (Le),8,40.0
399,83035,Le Castellet,8,5.0
407,83036,Cavalaire-sur-Mer,8,42.0
417,83037,Celle (La),8,5.0
420,83037,La Celle,8,1.0
428,83038,ChÇ½teaudouble,8,10.0
438,83039,ChÇ½teauvert,8,5.0
445,83040,ChÇ½teauvieux,8,1.0
456,83041,Claviers,8,18.0
468,83042,Cogolin,8,13.0
480,83043,CollobriÇùres,8,25.0
490,83044,Comps-sur-Artuby,8,2.0
502,83045,Correns,8,18.0
512,83046,Cotignac,8,15.0
524,83047,Crau (La),8,14.0
529,83047,La Crau,8,2.0
538,83048,Croix-Valmer (La),8,50.0
544,83048,La Croix-Valmer,8,3.0
553,83049,Cuers,8,14.0
565,83050,Draguignan,8,69.0
577,83051,Entrecasteaux,8,17.0
587,83052,Esparron,8,5.0
597,83053,Ç?venos,8,9.0
606,83054,FarlÇùde (La),8,9.0
611,83054,La FarlÇùde,8,2.0
619,83055,Fayence,8,27.0
631,83056,FiganiÇùres,8,25.0
643,83057,Flassans-sur-Issole,8,35.0
654,83058,Flayosc,8,33.0
666,83059,Forcalqueiret,8,2.0
675,83060,Fox-Amphoux,8,5.0
687,83061,FrÇ¸jus,8,63.0
698,83062,Garde (La),8,11.0
703,83062,La Garde,8,1.0
711,83063,Garde-Freinet (La),8,32.0
721,83063,La Garde-Freinet,8,2.0
730,83064,GarÇ¸oult,8,10.0
740,83065,Gassin,8,34.0
752,83066,Ginasservis,8,32.0
763,83067,Gonfaron,8,22.0
775,83068,Grimaud,8,22.0
787,83069,HyÇùres,8,74.0
799,83070,Lavandou (Le),8,15.0
812,83071,La Londe-les-Maures,8,6.0
821,83071,Londe-les-Maures (La),8,27.0
833,83072,Lorgues,8,46.0
843,83073,Le Luc,8,3.0
852,83073,Luc (Le),8,39.0
859,83074,Martre (La),8,4.0
864,83075,Les Mayons,8,1.0
872,83075,Mayons (Les),8,7.0
884,83076,Mazaugues,8,9.0
895,83077,MÇ¸ounes-lÇùs-Montrieux,8,8.0
907,83078,Moissac-Bellevue,8,4.0
909,83079,La MÇïle,8,2.0
918,83079,MÇïle (La),8,3.0
930,83080,Mons,8,13.0
942,83081,Montauroux,8,54.0
953,83082,Montferrat,8,4.0
964,83083,Montfort-sur-Argens,8,2.0
973,83084,Montmeyan,8,2.0
978,83085,La Motte,8,1.0
986,83085,Motte (La),8,12.0
995,83086,Le Muy,8,3.0
1004,83086,Muy (Le),8,39.0
1015,83087,Nans-les-Pins,8,26.0
1026,83088,NÇ¸oules,8,6.0
1037,83089,OlliÇùres,8,16.0
1048,83090,Ollioules,8,29.0
1060,83091,Pierrefeu-du-Var,8,27.0
1071,83092,Pignans,8,19.0
1080,83093,Plan-d'Aups-Sainte-Baume,8,4.0
1089,83094,Le Plan-de-la-Tour,8,1.0
1097,83094,Plan-de-la-Tour,8,16.0
1109,83095,PontevÇùs,8,19.0
1120,83096,Pourcieux,8,15.0
1132,83097,PourriÇùres,8,33.0
1146,83098,Pradet (Le),8,11.0
1157,83099,Puget-sur-Argens,8,35.0
1168,83100,Puget-Ville,8,17.0
1180,83101,Ramatuelle,8,43.0
1191,83102,RÇ¸gusse,8,5.0
1201,83103,Revest-les-Eaux (Le),8,10.0
1213,83104,Rians,8,25.0
1219,83105,Riboux,8,1.0
1228,83106,Rocbaron,8,16.0
1240,83107,Roquebrune-sur-Argens,8,43.0
1246,83108,La Roquebrussanne,8,1.0
1254,83108,Roquebrussanne (La),8,8.0
1260,83109,La Roque-Esclapon,8,1.0
1266,83109,Roque-Esclapon (La),8,4.0
1276,83110,Rougiers,8,15.0
