,Code_INSEE,Nom de la commune,Mois,Nombre de feux
6,83001,Adrets-de-l'EstÇ¸rel (Les),7,17.0
15,83001,Les Adrets-de-l'EstÇ¸rel,7,1.0
23,83002,Aiguines,7,1.0
32,83003,Ampus,7,8.0
44,83004,Arcs (Les),7,25.0
54,83004,Les Arcs,7,5.0
59,83005,Artignosc-sur-Verdon,7,3.0
64,83006,Artigues,7,7.0
74,83007,Aups,7,21.0
86,83008,Bagnols-en-ForÇ¦t,7,14.0
98,83009,Bandol,7,12.0
110,83010,BargÇùme,7,1.0
120,83011,Bargemon,7,7.0
132,83012,Barjols,7,12.0
143,83013,Bastide (La),7,1.0
150,83014,Baudinard-sur-Verdon,7,3.0
161,83015,Bauduen,7,5.0
172,83016,Beausset (Le),7,21.0
187,83017,Belgentier,7,6.0
198,83018,Besse-sur-Issole,7,18.0
210,83019,Bormes-les-Mimosas,7,33.0
220,83020,Bourguet (Le),7,2.0
231,83021,Bras,7,27.0
248,83023,Brignoles,7,40.0
259,83025,Brue-Auriac,7,8.0
270,83026,Cabasse,7,15.0
282,83027,CadiÇùre-d'Azur (La),7,20.0
291,83027,La CadiÇùre-d'Azur,7,2.0
300,83028,Callas,7,27.0
312,83029,Callian,7,11.0
323,83030,Camps-la-Source,7,14.0
334,83031,Cannet-des-Maures (Le),7,28.0
345,83031,Le Cannet-des-Maures,7,3.0
353,83032,CarcÇùs,7,9.0
365,83033,Carnoules,7,13.0
377,83034,Carqueiranne,7,21.0
389,83035,Castellet (Le),7,31.0
398,83035,Le Castellet,7,1.0
406,83036,Cavalaire-sur-Mer,7,27.0
416,83037,Celle (La),7,5.0
419,83037,La Celle,7,1.0
427,83038,ChÇ½teaudouble,7,8.0
437,83039,ChÇ½teauvert,7,7.0
444,83040,ChÇ½teauvieux,7,7.0
455,83041,Claviers,7,12.0
467,83042,Cogolin,7,13.0
479,83043,CollobriÇùres,7,20.0
489,83044,Comps-sur-Artuby,7,2.0
501,83045,Correns,7,9.0
511,83046,Cotignac,7,18.0
523,83047,Crau (La),7,14.0
528,83047,La Crau,7,3.0
537,83048,Croix-Valmer (La),7,26.0
552,83049,Cuers,7,23.0
564,83050,Draguignan,7,58.0
576,83051,Entrecasteaux,7,14.0
586,83052,Esparron,7,6.0
596,83053,Ç?venos,7,15.0
605,83054,FarlÇùde (La),7,5.0
618,83055,Fayence,7,13.0
630,83056,FiganiÇùres,7,16.0
642,83057,Flassans-sur-Issole,7,24.0
653,83058,Flayosc,7,37.0
665,83059,Forcalqueiret,7,6.0
674,83060,Fox-Amphoux,7,5.0
686,83061,FrÇ¸jus,7,58.0
697,83062,Garde (La),7,23.0
710,83063,Garde-Freinet (La),7,17.0
720,83063,La Garde-Freinet,7,2.0
729,83064,GarÇ¸oult,7,3.0
739,83065,Gassin,7,33.0
751,83066,Ginasservis,7,8.0
762,83067,Gonfaron,7,22.0
774,83068,Grimaud,7,24.0
786,83069,HyÇùres,7,77.0
798,83070,Lavandou (Le),7,12.0
806,83070,Le Lavandou,7,1.0
811,83071,La Londe-les-Maures,7,1.0
820,83071,Londe-les-Maures (La),7,30.0
832,83072,Lorgues,7,48.0
842,83073,Le Luc,7,2.0
851,83073,Luc (Le),7,23.0
863,83075,Les Mayons,7,1.0
871,83075,Mayons (Les),7,8.0
883,83076,Mazaugues,7,9.0
