Code_INSEE;Nombre_feu;Surface_m2
83124;2;5000
83124;2;12000
83032;2;5000
83124;2;100000
83124;2;3000
83124;2;1000
83124;2;1000
83085;2;1000
83151;3;1000
83049;3;1000
83100;3;1000
83130;3;1000
83124;2;10000
83023;2;10000
83015;2;8000
83003;3;10000
83086;2;3000
83004;2;1000
83104;2;10000
83001;2;20000
83083;2;1000
83150;2;5000
83051;2;1000
83007;2;1000
83075;2;30000
83152;2;1000
83137;2;1000
83061;2;5000
83070;2;1000
83116;2;1000
83124;4;1000
83052;2;100000
83004;3;25000
83069;2;1000
83004;3;3000
83137;4;1000
83019;3;50000
83118;2;100000
83019;2;10000
83144;3;1000
83064;3;2000
83048;3;1000
83071;3;6000
83151;2;1000
83104;2;1000
83026;2;1000
83029;2;10000
83029;2;30000
83090;3;30000
83042;3;1000
83019;2;1000
83019;2;1000
83140;3;1000
83019;2;15000
83016;2;1000
83115;3;1000
83115;2;1000
83115;3;1000
83126;2;1000
83007;3;1000
83036;2;1000
83036;3;1000
83031;2;1000
83126;2;3000
83131;2;2000
83057;2;10000
83069;2;1000
83147;3;30000
83150;2;1000
83112;2;1000
83068;2;3000
83115;2;30000
83129;2;5000
83071;3;10000
83028;2;10000
83008;2;1000
83003;2;1000
83056;3;1000
83126;2;1000
83123;2;3000
83113;2;2000
83057;2;1000
83118;2;1000
83072;2;1000
83056;2;1000
83050;2;20000
83126;2;1000
83118;2;1000
83049;2;1000
83033;2;5000
83060;2;1000
83073;3;2000
83137;2;30000
83023;2;1000
83008;2;5000
83023;2;1000
83061;2;2000
83073;3;1000
83107;2;40000
83036;2;3000
83129;2;3000
83041;3;1000
83072;2;1000
83118;2;1000
83119;2;1000
83097;2;1000
83036;2;2000
83103;2;8000
83069;2;1000
83048;2;1000
83116;2;3000
83073;2;8000
83004;3;6000
83152;2;20000
83112;3;2000
83004;4;2150000
83016;4;6500000
83118;4;1000
83072;3;1000
83137;3;1000
83126;3;25000
83049;3;1000
83041;3;5000
83099;4;1000
83070;4;1000
83002;4;3960000
83066;4;20000
83018;4;5000
83050;4;1000
83137;4;30000
83067;3;20000
83115;5;1000
83115;4;1000
83121;4;1000
83118;4;2000
83048;4;2000
83066;4;150000
83066;4;120000
83118;4;1000
83043;4;2000
83042;3;1000
83043;5;1000
83104;4;150000
83061;3;10000
83119;4;10000
83092;4;20000
83019;4;1000
83126;4;1000
83004;4;5000
83141;4;5000
83126;4;1000
83146;4;8000
83066;4;30000
83048;4;2000
83097;5;1000
83071;3;5000
83134;4;100000
83118;4;10000
83134;4;1000
83129;4;1000
83126;4;1000
83016;4;5000
83016;4;5000
83004;4;1000
83099;4;2000
83003;4;1000
83050;4;5000
83126;4;80000
83036;4;1000
83012;4;1000
83048;4;40000
83081;4;15000
83003;4;20000
83091;4;1000
83126;4;8000
83139;4;10000
83110;4;1000
83118;4;10000
83146;4;10000
83073;4;1000
83073;4;1000
83073;4;30000
83144;4;40000
83126;4;1000
83073;4;1000
83031;4;1000
83069;4;1000
83061;4;1000
83086;4;1000
83099;4;20000
83098;4;1000
83070;3;1000
83050;4;1000
83080;4;20000
83118;4;1000
83104;4;1000
83110;4;2000
83091;4;1000
83147;4;1000
83038;4;20000
83121;4;5000
83007;4;1000
83128;4;1000
83046;4;1000
83143;4;1000
83003;4;1000
83066;4;1000
83061;4;50000
83034;4;1000
83092;4;5000
83036;4;1000
83057;4;10000
83081;4;1000
83034;4;5000
83087;4;1000
83069;4;1000
83023;4;1000
83101;4;1000
83126;3;1000
83025;4;1000
83143;4;3000
83118;3;1000
83066;4;10000
83097;3;1000
83091;3;5000
83036;3;1000
83122;3;1000
83016;3;1000
83098;3;1000
83070;3;1000
83050;3;1000
83072;3;1000
83058;3;1000
83064;3;1000
83119;3;1000
83067;3;1000
83052;3;1000
83008;3;1000
83141;3;10000
83037;3;1000
83061;3;2000
83030;3;1000
83048;3;1000
83101;3;1000
83112;3;1000
83069;3;1000
83069;3;1000
83023;3;1000
83081;3;1000
83096;3;1000
83066;4;10000
83069;3;1000
83086;3;1000
83101;3;1000
83026;3;1000
83047;3;1000
83028;3;1000
83124;3;1000
83069;3;1000
83107;3;1000
83115;4;10000
83031;3;10000
83019;3;1000
83069;4;1000
83081;3;20000
83092;4;30000
83091;3;1000
83143;3;1000
83100;4;1000
83073;3;1000
83141;4;1000
83026;4;2000
83027;3;150000
83086;3;1000
83008;3;5000
83094;3;10000
83027;3;30000
83009;3;1000
83107;3;1000
83117;3;5000
83070;3;1000
83137;3;20000
83048;3;3000
83123;4;20000
83050;3;2000
83141;3;10000
83012;3;1000
83050;3;20000
83120;3;1000
83118;4;1000
83090;3;1000
83069;3;1000
83130;4;1000
