Code_INSEE;Nombre_feu_par_carr;Surface_brule_par_car_m2;Surface_br_ha
83001;430;30625241;3062.5241
83002;65;30992124;3099.2124
83003;226;930396;93.0396
83004;594;4194006;419.4006
83005;29;55520;5.552
83006;154;29124860;2912.486
83007;531;30680445;3068.0445
83008;411;290996;29.0996
83009;347;406660;40.666
83010;116;1070786;107.0786
83011;285;940400;94.04
83012;449;750809;75.0809
83013;66;215145;21.5145
83014;45;1492080;149.208
83015;161;287650;28.765
83016;497;8309181;830.9181
83017;204;920287;92.0287
83018;344;463893;46.3893
83019;855;31904786;3190.4786
83020;46;361400;36.14
83021;444;19776826;1977.6826
83022;25;60140;6.014
83023;877;990986;99.0986
83025;202;277492;27.7492
83026;371;1499695;149.9695
83027;621;6241722;624.1722
83028;519;12748154;1274.8154
83029;422;798354;79.8354
83030;249;1594115;159.4115
83031;556;30099828;3009.9828
83032;304;8885905;888.5905
83033;338;2468036;246.8036
83034;424;478365;47.8365
83035;711;26915876;2691.5876
83036;719;264942;26.4942
83037;99;229965;22.9965
83038;215;507896;50.7896
83039;90;99525;9.9525
83040;71;480830;48.083
83041;226;712602;71.2602
83042;472;379074;37.9074
83043;699;98138244;9813.8244
83044;57;703702;70.3702
83045;217;9931450;993.145
83046;521;13047655;1304.7655
83047;344;9361660;936.166
83048;824;5451011;545.1011
83049;562;9688447;968.8447
83050;1327;10496928;1049.6928
83051;412;1924932;192.4932
83052;84;239055;23.9055
83053;244;792920;79.292
83054;119;183851;18.3851
83055;446;473337;47.3337
83056;485;1273791;127.3791
83057;486;1049934;104.9934
83058;594;755412;75.5412
83059;185;10354110;1035.411
83060;107;302848;30.2848
83061;1065;42157546;4215.7546
83062;222;384435;38.4435
83063;1034;4912510;491.251
83064;95;192871;19.2871
83065;527;1985929;198.5929
83066;275;12867851;1286.7851
83067;471;69290840;6929.084
83068;491;1041145;104.1145
83069;1537;51047318;5104.7318
83070;342;22276277;2227.6277
83071;663;20009489;2000.9489
83072;1292;6402795;640.2795
83073;757;65956624;6595.6624
83074;81;585307;58.5307
83075;222;354810;35.481
83076;147;563934;56.3934
83077;202;465176;46.5176
83078;65;168570;16.857
83079;338;162469;16.2469
83080;395;1055593;105.5593
83081;689;19070308;1907.0308
83082;139;1607590;160.759
83083;118;401135;40.1135
83084;54;299725;29.9725
83085;379;25142487;2514.2487
83086;704;8283625;828.3625
83087;412;22826285;2282.6285
83088;112;234570;23.457
83089;460;785351;78.5351
83090;513;1479520;147.952
83091;493;4584817;458.4817
83092;437;1047192;104.7192
83093;51;23830;2.383
83094;283;37578473;3757.8473
83095;299;2672990;267.299
83096;308;1032117;103.2117
83097;628;4787251;478.7251
83098;187;1746130;174.613
83099;425;4818488;481.8488
83100;334;2504675;250.4675
83101;821;6389608;638.9608
83102;80;198025;19.8025
83103;185;5720595;572.0595
83104;429;21387601;2138.7601
83105;17;612000;61.2
83106;348;963545;96.3545
83107;695;22520423;2252.0423
83108;217;10249466;1024.9466
83109;97;2676760;267.676
83110;179;2287790;228.779
83111;128;2236767;223.6767
83112;391;1747606;174.7606
83113;189;512415;51.2415
83114;68;339675;33.9675
83115;219;7396200;739.62
83116;754;485193;48.5193
83117;160;1613389;161.3389
83118;1446;8938390;893.839
83119;539;393480;39.348
83120;205;14824074;1482.4074
83121;680;1491510;149.151
83122;27;14000;1.4
83123;491;2355480;235.548
83124;752;4933371;493.3371
83125;186;12081957;1208.1957
83126;1319;2265204;226.5204
83127;539;4758464;475.8464
83128;343;2162385;216.2385
83129;469;3438691;343.8691
83130;161;146945;14.6945
83131;311;10699455;1069.9455
83132;123;44751;4.4751
83133;534;21626632;2162.6632
83134;337;2395338;239.5338
83135;194;152354;15.2354
83136;290;482535;48.2535
83137;1143;5285508;528.5508
83138;571;1022050;102.205
83139;287;386306;38.6306
83140;750;1394943;139.4943
83141;368;11680225;1168.0225
83142;72;2315470;231.547
83143;457;1181135;118.1135
83144;340;827524;82.7524
83145;284;443595;44.3595
83146;299;693916;69.3916
83147;90;90500;9.05
83148;559;242964162;24296.4162
83149;280;4045362;404.5362
83150;289;413527;41.3527
83151;146;830800;83.08
83152;242;6971655;697.1655
83153;331;902093;90.2093
83154;173;643010;64.301
83999;41;12315056;1231.5056
Total général;59414;1381453239;138145.3239
