Nom_de_la_commune;Surface_parcourue_m2
Vidauban;242964162
Collobrières;98138244
Gonfaron;69290840
Luc (Le);65946621
Hyères;51047318
Fréjus;42157546
Plan-de-la-Tour;37551020
Bormes-les-Mimosas;31904786
Aiguines;30992124
Aups;30680445
Adrets-de-l'Estérel (Les);30601655
Cannet-des-Maures (Le);30095905
Artigues;29124860
Castellet (Le);26878904
Motte (La);25142347
Nans-les-Pins;22826285
Roquebrune-sur-Argens;22520423
Lavandou (Le);22232647
Tanneron;21626632
Rians;21387601
Londe-les-Maures (La);19995642
Bras;19776826
Montauroux;19070308
Saint-Zacharie;14824074
Cotignac;13047655
Ginasservis;12867851
Callas;12748154
Commune inconnue;12315056
Seillons-Source-d'Argens;12081957
Trans-en-Provence;11680225
Solliès-Toucas;10699455
Draguignan;10496928
Forcalqueiret;10354110
Roquebrussanne (La);10248856
Correns;9931450
Cuers;9688447
Crau (La);9356980
Saint-Raphaël;8938390
Carcès;8885905
Beausset (Le);8308285
Muy (Le);8275102
Sainte-Maxime;7396200
Rayol-Canadel-sur-Mer;6971655
Lorgues;6402795
Ramatuelle;6389608
Cadière-d'Azur (La);6212132
Revest-les-Eaux (Le);5720595
Croix-Valmer (La);5444929
Toulon;5285508
Seillans;4933371
Garde-Freinet (La);4868897
Puget-sur-Argens;4818488
Pourrières;4787251
Signes;4758464
Pierrefeu-du-Var;4584817
Arcs (Les);4165431
Villecroze;4045362
Six-Fours-les-Plages;3438691
Pontevès;2672990
Roque-Esclapon (La);2666560
Puget-Ville;2504675
Carnoules;2468036
Taradeau;2395338
Sanary-sur-Mer;2355480
Trigance;2315470
Rougiers;2287790
Seyne-sur-Mer (La);2253954
Sainte-Anastasie-sur-Issole;2236767
Sillans-la-Cascade;2162385
Gassin;1985929
Entrecasteaux;1924932
Saint-Cyr-sur-Mer;1747606
Pradet (Le);1745800
Saint-Paul-en-Forêt;1613389
Montferrat;1607590
Camps-la-Source;1594115
Cabasse;1499695
Baudinard-sur-Verdon;1492080
Salernes;1491510
Ollioules;1479520
Tourves;1394943
Figanières;1273791
Val (Le);1128555
Bargème;1070786
Mons;1055593
Flassans-sur-Issole;1049934
Pignans;1047192
Grimaud;1041145
Pourcieux;1032117
Tourrettes;1022050
Brignoles;990986
Rocbaron;963545
Bargemon;940400
Ampus;930396
Belgentier;920287
Saint-Mandrier-sur-Mer;902093
Vins-sur-Caramy;830800
Callian;798354
Valette-du-Var (La);796730
Évenos;792920
Ollières;785351
Flayosc;755412
Barjols;750809
Claviers;712602
Comps-sur-Artuby;703702
Verdière (La);685706
Saint-Antonin-du-Var;643010
Riboux;612000
Martre (La);585307
Mazaugues;563934
Saint-Julien;512415
Châteaudouble;507896
Saint-Maximin-la-Sainte-Baume;485193
Châteauvieux;480830
Thoronet (Le);478952
Carqueiranne;478365
Fayence;473337
Méounes-lès-Montrieux;465176
Besse-sur-Issole;463893
Varages;443595
Vinon-sur-Verdon;413527
Bandol;406660
Montfort-sur-Argens;401135
Saint-Tropez;393480
Tourtour;386306
Cogolin;379074
Garde (La);374430
Bourguet (Le);361400
Mayons (Les);329040
Saint-Martin;320475
Fox-Amphoux;302848
Montmeyan;299725
Bagnols-en-Forêt;290996
Bauduen;287650
Brue-Auriac;277492
Cavalaire-sur-Mer;264942
Esparron;239055
Néoules;234570
Celle (La);229805
Bastide (La);215100
Régusse;198025
Garéoult;192871
Farlède (La);172940
Moissac-Bellevue;168570
Môle (La);161465
Tavernes;152354
Solliès-Pont;146945
Châteauvert;99525
Vérignon;90500
Brenon;60140
Artignosc-sur-Verdon;55520
Le Val;52580
Solliès-Ville;44751
Le Lavandou;43630
La Garde-Freinet;43613
Le Castellet;36972
La Valette-du-Var;30794
La Cadière-d'Azur;29590
Les Arcs;28575
Le Plan-de-la-Tour;27453
Les Mayons;25770
Plan-d'Aups-Sainte-Baume;23830
Les Adrets-de-l'Estérel;23586
Saint-Martin-de-Pallières;19200
Salles-sur-Verdon (Les);14000
La Londe-les-Maures;13847
La Seyne-sur-Mer;11250
La Farlède;10911
La Roque-Esclapon;10200
La Garde;10005
Le Luc;10003
Le Muy;8523
La Verdière;8210
La Croix-Valmer;6082
La Crau;4680
Le Cannet-des-Maures;3923
Le Thoronet;3583
La Môle;1004
Le Beausset;896
La Roquebrussanne;610
Le Pradet;330
La Celle;160
La Motte;140
La Bastide;45
